"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.height"
"37_84_226+0+10819","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:59:59.994",5,0
"37_84_226+0+10818","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:50:00.022",0,0
"37_84_226+0+10817","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:45:00.012",0,0
"37_84_226+0+10816","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:40:00.012",0,0
"37_84_226+0+10815","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:35:00.012",0,0
"37_84_226+0+10814","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:30:00.003",0,0
"37_84_226+0+10813","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:25:00.003",0,0
"37_84_226+0+10812","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:20:00.003",0,0
"37_84_226+0+10811","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:15:00.003",0,0
"37_84_226+0+10810","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:10:00.003",0,0
"37_84_226+0+10809","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:05:00.003",0,0
"37_84_226+0+10808","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 17:00:00.003",0,0
"37_84_226+0+10807","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:55:00.003",0,0
"37_84_226+0+10806","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:50:00.003",0,0
"37_84_226+0+10805","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:45:00.003",0,0
"37_84_226+0+10804","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:40:00.003",0,0
"37_84_226+0+10803","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:35:00.003",0,0
"37_84_226+0+10802","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:30:00.000",0,0
"37_84_226+0+10801","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:25:00.000",0,0
"37_84_226+0+10800","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:20:00.000",0,0
"37_84_226+0+10799","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:15:00.000",0,0
"37_84_226+0+10798","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:10:00.000",0,0
"37_84_226+0+10797","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:05:00.000",0,0
"37_84_226+0+10796","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 16:00:00.000",0,0
"37_84_226+0+10795","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:55:00.000",0,0
"37_84_226+0+10794","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:50:00.000",0,0
"37_84_226+0+10793","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:45:00.000",0,0
"37_84_226+0+10792","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:40:00.000",0,0
"37_84_226+0+10791","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:35:00.000",0,0
"37_84_226+0+10790","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:29:59.987",0,0
"37_84_226+0+10789","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:24:59.987",1,0
"37_84_226+0+10788","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:19:59.987",1,0
"37_84_226+0+10787","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:14:59.987",1,0
"37_84_226+0+10786","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 15:09:59.987",1,0
