"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count"
"38_87_232+0+9031","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 18:00:00.000",38
"38_87_232+0+9030","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:50:00.000",28
"38_87_232+0+9027","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:45:00.000",28
"38_87_232+0+9029","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:40:00.000",28
"38_87_232+0+9028","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:35:00.000",28
"38_87_232+0+9026","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:30:00.000",28
"38_87_232+0+9025","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:25:00.000",28
"38_87_232+0+9024","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:21:13.000",28
"38_87_232+0+9023","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:15:00.000",28
"38_87_232+0+9022","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:10:00.000",28
"38_87_232+0+9021","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:05:00.000",28
"38_87_232+0+9020","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 17:00:00.000",28
"38_87_232+0+9019","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:55:00.000",28
"38_87_232+0+9018","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:50:00.000",28
"38_87_232+0+9017","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:45:00.000",28
"38_87_232+0+9016","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:40:00.000",28
"38_87_232+0+9015","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:35:00.000",28
"38_87_232+0+9014","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:30:00.000",28
"38_87_232+0+9013","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:25:00.000",28
"38_87_232+0+9012","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:20:00.000",28
"38_87_232+0+9011","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:15:00.000",28
"38_87_232+0+9010","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:10:00.000",28
"38_87_232+0+9009","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:05:00.000",28
"38_87_232+0+9008","38_87_232","-","_doc",87,87,"iot_platform","iot_platform",232,232,RooMonitorCount,RooMonitorCount,"Jun 30, 2023 @ 16:00:00.000",28
