"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.countPeople"
"34_82_231+0+9652","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:48:53.000",37
"34_82_231+0+9651","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:46:45.000",37
"34_82_231+0+9650","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:46:39.000",38
"34_82_231+0+9649","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:43:53.000",37
"34_82_231+0+9648","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:38:53.000",37
"34_82_231+0+9647","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:33:53.000",37
"34_82_231+0+9646","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:28:52.000",37
"34_82_231+0+9645","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:23:52.000",37
"34_82_231+0+9644","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:18:52.000",37
"34_82_231+0+9643","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:13:52.000",37
"34_82_231+0+9642","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:08:52.000",37
"34_82_231+0+9641","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 17:03:52.000",37
"34_82_231+0+9640","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:58:52.000",37
"34_82_231+0+9639","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:53:52.000",37
"34_82_231+0+9638","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:48:51.000",37
"34_82_231+0+9637","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:43:51.000",37
"34_82_231+0+9636","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:38:51.000",37
"34_82_231+0+9635","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:33:51.000",37
"34_82_231+0+9634","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:28:51.000",37
"34_82_231+0+9633","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:23:51.000",37
"34_82_231+0+9632","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:18:50.000",37
"34_82_231+0+9631","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:13:50.000",37
"34_82_231+0+9630","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:08:50.000",37
"34_82_231+0+9629","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 16:03:50.000",37
"34_82_231+0+9628","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:58:50.000",37
"34_82_231+0+9627","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:53:50.000",37
"34_82_231+0+9626","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:48:49.000",37
"34_82_231+0+9625","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:43:49.000",37
"34_82_231+0+9624","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:38:49.000",37
"34_82_231+0+9623","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:37:49.000",37
"34_82_231+0+9622","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:37:48.000",38
"34_82_231+0+9621","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:37:42.000",37
"34_82_231+0+9620","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:34:53.000",38
"34_82_231+0+9619","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:33:49.000",39
"34_82_231+0+9618","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:28:49.000",39
"34_82_231+0+9617","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:27:26.000",39
"34_82_231+0+9616","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:25:41.000",40
"34_82_231+0+9615","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:23:49.000",41
"34_82_231+0+9614","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:18:48.000",41
"34_82_231+0+9613","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:13:48.000",41
"34_82_231+0+9612","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:08:48.000",41
"34_82_231+0+9611","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 15:03:48.000",41
