"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.peopleCount"
"35_83_238+0+9672","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 18:00:14.567",5
"35_83_238+0+9671","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:55:14.563",0
"35_83_238+0+9670","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:54:03.352",0
"35_83_238+0+9669","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:49:21.631",0
"35_83_238+0+9668","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:44:21.632",0
"35_83_238+0+9667","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:39:21.631",0
"35_83_238+0+9666","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:34:21.632",0
"35_83_238+0+9665","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:29:21.623",0
"35_83_238+0+9664","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:24:21.623",0
"35_83_238+0+9663","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:19:21.623",0
"35_83_238+0+9662","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:14:21.623",0
"35_83_238+0+9661","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:09:21.623",0
"35_83_238+0+9660","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 17:04:21.623",0
"35_83_238+0+9659","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:59:21.623",0
"35_83_238+0+9658","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:54:21.623",0
"35_83_238+0+9657","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:49:21.623",0
"35_83_238+0+9656","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:44:21.623",0
"35_83_238+0+9655","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:39:21.623",0
"35_83_238+0+9654","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:34:21.623",0
"35_83_238+0+9653","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:29:21.615",0
"35_83_238+0+9652","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:24:21.615",0
"35_83_238+0+9651","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:19:21.615",0
"35_83_238+0+9650","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:14:21.615",0
"35_83_238+0+9649","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:09:21.615",0
"35_83_238+0+9648","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 16:04:21.615",0
"35_83_238+0+9647","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:59:21.615",0
"35_83_238+0+9646","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:54:21.615",0
"35_83_238+0+9645","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:49:21.615",0
"35_83_238+0+9644","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:44:21.615",0
"35_83_238+0+9643","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:39:21.615",0
"35_83_238+0+9642","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:34:21.615",0
"35_83_238+0+9641","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:29:21.623",0
"35_83_238+0+9640","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:24:21.623",1
"35_83_238+0+9639","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:19:21.623",1
"35_83_238+0+9638","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:14:21.623",1
"35_83_238+0+9637","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 15:09:21.623",1
