"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.heap"
"7_89_234+0+4334","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 18:00:00.635",42,"197,284"
"7_89_234+0+4335","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 18:00:00.635",42,"197,284"
"7_89_234+0+4332","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:50:00.580",0,"198,512"
"7_89_234+0+4333","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:50:00.580",0,"198,512"
"7_89_234+0+4330","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:45:00.570",0,"198,512"
"7_89_234+0+4331","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:45:00.570",0,"198,512"
"7_89_234+0+4328","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:40:00.560",0,"198,512"
"7_89_234+0+4329","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:40:00.560",0,"198,512"
"7_89_234+0+4326","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:35:00.550",0,"198,512"
"7_89_234+0+4327","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:35:00.550",0,"198,512"
"7_89_234+0+4324","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:30:00.540",0,"198,512"
"7_89_234+0+4325","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:30:00.540",0,"198,512"
"7_89_234+0+4322","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:25:00.530",0,"198,512"
"7_89_234+0+4323","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:25:00.530",0,"198,512"
"7_89_234+0+4320","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:20:00.520",0,"198,512"
"7_89_234+0+4321","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:20:00.520",0,"198,512"
"7_89_234+0+4318","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:15:00.510",0,"198,512"
"7_89_234+0+4319","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:15:00.510",0,"198,512"
"7_89_234+0+4316","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:10:00.500",0,"198,512"
"7_89_234+0+4317","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:10:00.500",0,"198,512"
"7_89_234+0+4314","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:05:00.490",0,"198,636"
"7_89_234+0+4315","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:05:00.490",0,"198,636"
"7_89_234+0+4312","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:00:00.480",0,"198,636"
"7_89_234+0+4313","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 17:00:00.480",0,"198,636"
"7_89_234+0+4310","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:55:00.470",0,"198,636"
"7_89_234+0+4311","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:55:00.470",0,"198,636"
"7_89_234+0+4308","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:50:00.460",0,"198,636"
"7_89_234+0+4309","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:50:00.460",0,"198,636"
"7_89_234+0+4306","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:45:00.450",0,"198,636"
"7_89_234+0+4307","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:45:00.450",0,"198,636"
"7_89_234+0+4304","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:40:00.440",0,"198,636"
"7_89_234+0+4305","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:40:00.440",0,"198,636"
"7_89_234+0+4302","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:35:00.430",0,"198,636"
"7_89_234+0+4303","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:35:00.430",0,"198,636"
"7_89_234+0+4300","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:30:00.420",0,"198,636"
"7_89_234+0+4301","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:30:00.420",0,"198,636"
"7_89_234+0+4298","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 16:25:00.410",0,"198,632"
